session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,3.0,0.17808,0.01446,0.87926,1,1,0.5
1,3.0,0.18496,-0.03881,0.90151,0,0,0.4264
1,3.0,0.17255,0.03141,0.9741,1,1,0.3158
1,3.0,0.18152,-0.01242,0.78081,1,0,0.4161
1,3.0,0.17641,0.00721,0.79896,1,1,0.3606
1,3.0,0.17646,0.03105,0.93379,0,1,0.3426
1,3.0,0.17657,-0.02286,0.86796,1,1,0.3928
1,3.0,0.16784,0.05151,0.83649,0,0,0.4102
1,3.0,0.1855,0.02356,0.98129,1,1,0.3727
1,3.0,0.18032,-0.02856,1.00042,0,0,0.4214
1,3.0,0.18308,-0.0215,0.88934,1,1,0.3728
1,3.0,0.18664,0.05469,0.844,0,0,0.4283
1,3.0,0.18493,0.00703,0.84739,0,0,0.4999
1,3.0,0.17906,-0.11447,0.81092,0,0,0.4963
1,3.0,0.17076,-0.01964,1.14794,0,1,0.3778
1,3.0,0.17553,-0.01389,0.90923,1,1,0.3578
1,3.0,0.17121,-0.05092,1.01137,1,1,0.5
1,3.0,0.1858,-0.06941,0.76104,1,0,0.4454
1,3.0,0.1728,0.02595,0.83867,1,1,0.3495
1,3.0,0.18466,0.09574,1.27287,1,1,0.3179
1,3.0,0.17867,0.03293,1.66088,1,1,0.3519
1,3.0,0.17855,0.06358,0.90146,1,1,0.3687
1,3.0,0.17898,0.09332,0.93778,0,0,0.5
1,3.0,0.17865,-0.00357,0.87011,0,0,0.4267
1,3.0,0.18459,-0.0291,1.09418,0,0,0.4622
1,3.0,0.18108,-0.01454,0.89912,0,0,0.366
1,3.0,0.17112,-0.01923,0.89644,0,0,0.4111
1,3.0,0.1843,-0.06792,0.79365,1,0,0.3818
1,3.0,0.1773,0.05934,1.08695,0,0,0.4529
1,3.0,0.17684,0.08511,0.72865,0,0,0.3762
1,3.0,0.18652,0.08338,1.1312,0,0,0.3915
1,3.0,0.16885,0.02826,1.17019,1,1,0.3383
1,3.0,0.17785,-0.00729,3.27512,1,1,0.5
1,3.0,0.17185,0.01932,1.20513,0,1,0.4156
1,3.0,0.18286,-0.00388,0.95099,1,1,0.3952
1,3.0,0.18001,0.05413,0.90516,0,1,0.4859
1,3.0,0.18432,-0.06603,0.97208,1,1,0.4291
1,3.0,0.18144,-0.03233,4.53519,1,1,0.358
1,3.0,0.18021,0.07083,1.88288,0,1,0.4959
1,3.0,0.18603,0.01681,0.90337,1,0,0.3819
1,3.0,0.17531,0.0688,0.9331,1,1,0.3435
1,3.0,0.18537,0.03064,0.82494,0,0,0.4265
1,3.0,0.18378,-0.08447,0.81616,0,0,0.4995
1,3.0,0.1837,-0.05783,0.91013,0,0,0.4845
1,3.0,0.17865,-0.04639,0.95801,1,1,0.4138
1,3.0,0.18577,-0.01081,1.00974,1,0,0.4994
1,3.0,0.18555,0.04884,1.18776,0,1,0.3437
1,3.0,0.18621,0.0162,0.90882,0,0,0.3959
1,3.0,0.17342,-0.03272,0.88799,1,0,0.4232
1,3.0,0.16967,0.04877,0.92994,0,0,0.4999
1,3.0,0.17742,-0.03377,0.79956,0,0,0.4909
1,3.0,0.17892,0.05744,0.8419,0,0,0.4674
1,3.0,0.17007,-0.0442,1.32451,1,0,0.4367
1,3.0,0.18234,-0.03548,0.91449,0,0,0.4999
1,3.0,0.17671,-0.03543,0.81539,1,1,0.4061
1,3.0,0.1849,0.06489,0.79836,0,1,0.5
1,3.0,0.18305,0.08338,0.98273,1,1,0.4903
1,3.0,0.1813,0.0587,0.99564,0,0,0.4468
1,3.0,0.17393,-0.03192,0.88929,1,0,0.4996
1,3.0,0.17733,0.03546,0.96094,1,1,0.4999
1,3.0,0.18381,0.01563,0.95182,1,1,0.342
1,3.0,0.179,0.0333,2.13839,1,1,0.4153
1,3.0,0.16903,-0.06511,0.9292,0,0,0.3293
1,3.0,0.1782,-0.03093,0.80155,0,1,0.434
1,3.0,0.17515,0.04231,0.9072,0,1,0.5
1,3.0,0.16784,0.00972,0.88409,1,1,0.3398
1,3.0,0.18129,0.04697,1.02328,0,0,0.4027
1,3.0,0.17133,-0.00858,0.80146,1,1,0.4998
1,3.0,0.17211,0.02151,0.97689,1,1,0.4999
1,3.0,0.18152,-0.01242,0.78081,1,0,0.4998
1,3.0,0.18472,-0.04922,1.00194,0,0,0.5
1,3.0,0.18312,0.02395,0.96779,1,1,0.3097
1,3.0,0.17792,-0.00203,0.9291,0,1,0.3399
1,3.0,0.16951,0.01075,0.83836,0,0,0.4945
1,3.0,0.17535,-0.09285,0.81899,1,0,0.4498
1,3.0,0.17805,-0.03542,0.92785,1,1,0.3808
1,3.0,0.16942,0.00582,2.21978,1,1,0.4998
1,3.0,0.18103,-0.03798,0.93693,1,0,0.4797
1,3.0,0.18013,0.07509,0.86835,0,0,0.3859
1,3.0,0.17653,-0.00067,0.8158,1,0,0.5
1,3.0,0.17231,-0.06135,1.19638,1,0,0.4703
1,3.0,0.17702,0.00945,0.81122,0,0,0.4717
1,3.0,0.18065,-0.02176,2.31084,0,0,0.4677
1,3.0,0.17973,0.04818,0.85856,0,1,0.3701
1,3.0,0.18384,0.01513,0.84153,0,0,0.4811
1,3.0,0.18451,-0.03373,0.85182,1,0,0.3857
1,3.0,0.17916,-0.09155,0.94986,0,1,0.499
1,3.0,0.17476,-0.03322,0.93708,0,0,0.4279
1,3.0,0.17995,-0.01366,0.89567,0,1,0.3564
1,3.0,0.18041,-0.08106,0.91589,0,1,0.4563
1,3.0,0.18643,-0.07339,1.14466,1,0,0.4129
1,3.0,0.17774,-0.06264,0.85039,1,1,0.3795
1,3.0,0.17022,-0.00653,1.38855,0,0,0.4211
1,3.0,0.17764,0.00018,0.80555,1,1,0.4779
1,3.0,0.18433,-0.03024,0.89648,0,1,0.4551
1,3.0,0.18302,0.03755,0.75178,1,0,0.4998
1,3.0,0.17926,0.03998,1.72557,0,1,0.4502
1,3.0,0.17933,0.00936,1.589,1,1,0.4192
1,3.0,0.17116,0.02551,0.77228,1,1,0.3955
1,3.0,0.17871,-0.05365,3.62426,0,0,0.4305
1,3.0,0.17984,0.00523,0.94323,0,0,0.461
1,3.0,0.17343,-0.04132,0.97665,0,0,0.3562
1,3.0,0.18016,0.03209,0.91152,0,0,0.5
1,3.0,0.1718,0.04016,0.91145,1,0,0.445
1,3.0,0.1799,0.02741,0.79453,0,1,0.4999
1,3.0,0.17852,-0.01204,0.95064,0,1,0.4561
1,3.0,0.17777,-0.05079,0.85486,0,1,0.4496
1,3.0,0.1868,-0.04547,0.90448,0,0,0.3433
1,3.0,0.18339,-0.03749,1.10795,1,1,0.4834
1,3.0,0.17707,0.00469,1.40367,0,0,0.3413
1,3.0,0.17518,0.06473,4.75928,0,0,0.383
1,3.0,0.17472,-0.00715,0.88143,1,1,0.4997
1,3.0,0.17855,0.04897,0.85023,1,1,0.4342
1,3.0,0.18565,-0.02206,1.17594,0,0,0.3315
1,3.0,0.17059,0.04748,0.78894,1,1,0.3487
1,3.0,0.18089,0.02566,2.18041,0,0,0.3036
1,3.0,0.17651,0.02982,1.3616,1,1,0.426
1,3.0,0.17102,0.03175,0.87297,0,0,0.4031
1,3.0,0.1745,-0.00371,1.18689,1,1,0.4998
1,3.0,0.1725,-0.04448,1.26736,1,1,0.4998
1,3.0,0.17393,-0.03451,0.88595,1,1,0.3943
1,3.0,0.17303,0.03492,0.84823,0,1,0.3901
1,3.0,0.18583,-0.02096,1.05678,1,0,0.4021
1,3.0,0.17877,0.05172,0.86955,0,0,0.5
1,3.0,0.17465,0.00769,0.76732,1,0,0.4683
