session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,10.0,0.1681,-0.01134,0.96207,1,1,0.4999
1,10.0,0.18224,-0.05076,1.29871,1,1,0.3563
1,10.0,0.17601,-0.04164,0.86054,1,1,0.4069
1,10.0,0.17342,-0.03272,0.88799,1,1,0.4485
1,10.0,0.18228,-0.01407,0.88009,0,0,0.4692
1,10.0,0.17969,-0.03121,0.92181,1,1,0.3292
1,10.0,0.18241,-0.01893,0.92051,1,1,0.3646
1,10.0,0.16863,0.00783,0.93022,0,1,0.4998
1,10.0,0.16773,-0.02592,0.86548,0,0,0.4093
1,10.0,0.16953,0.03081,0.85781,1,1,0.3802
1,10.0,0.18001,-0.01935,1.14349,1,1,0.3406
1,10.0,0.17921,-0.01332,1.22662,1,1,0.286
1,10.0,0.18131,-0.02221,0.83429,0,1,0.3903
1,10.0,0.18549,0.05297,0.93483,1,1,0.4159
1,10.0,0.17048,-0.03962,0.85081,1,1,0.2958
1,10.0,0.18573,0.06773,0.8029,0,1,0.3561
1,10.0,0.18618,-0.01301,1.36634,1,1,0.3036
1,10.0,0.18258,-0.07518,1.12591,1,1,0.2476
1,10.0,0.18557,0.03581,0.83318,1,1,0.4005
1,10.0,0.17034,-0.05361,0.76222,1,1,0.4998
1,10.0,0.17663,0.02936,0.88649,0,0,0.435
1,10.0,0.18239,0.02644,3.84099,0,0,0.4378
1,10.0,0.1743,0.03018,1.25887,0,1,0.3697
1,10.0,0.17893,-0.01151,1.73486,0,1,0.4004
1,10.0,0.17351,-0.04643,0.87403,0,1,0.4739
1,10.0,0.17909,-0.014,0.90545,0,0,0.4205
1,10.0,0.17448,-0.01907,1.13205,1,1,0.406
1,10.0,0.16915,0.04554,1.13092,0,0,0.4998
1,10.0,0.17376,-0.0042,0.95391,0,0,0.4008
1,10.0,0.17512,0.01644,1.00006,0,0,0.0
1,10.0,0.18339,-0.07481,1.01646,1,0,0.5
1,10.0,0.1687,0.00507,6.02695,0,0,0.414
1,10.0,0.17726,-0.05973,0.85081,1,0,0.4998
1,10.0,0.17873,-0.07367,0.9044,1,1,0.2955
1,10.0,0.17115,0.01167,1.91716,1,1,0.3225
1,10.0,0.16918,0.00408,0.8679,0,0,0.4683
1,10.0,0.16813,0.01247,0.87254,0,0,0.3563
1,10.0,0.17956,0.02433,1.70145,1,1,0.4065
1,10.0,0.1844,0.02802,3.98018,1,0,0.376
1,10.0,0.17802,-0.09138,1.0135,0,0,0.4437
1,10.0,0.18244,-0.07181,0.94056,0,0,0.4257
1,10.0,0.17804,-0.09158,0.82209,0,0,0.4146
1,10.0,0.16778,-0.01745,0.75509,0,0,0.2882
1,10.0,0.17189,-0.02417,0.792,1,1,0.4415
1,10.0,0.18426,0.0228,1.24132,1,1,0.3459
1,10.0,0.18336,-0.04352,0.82161,0,0,0.4924
1,10.0,0.17928,-0.0085,1.45521,0,0,0.3388
1,10.0,0.17114,0.00117,0.84435,1,1,0.3925
1,10.0,0.1709,0.00157,1.52755,0,0,0.4147
1,10.0,0.17342,-0.04706,0.95338,0,0,0.3465
