session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,15.0,0.36192,-0.20175,0.97894,0,0,0.2659
1,15.0,0.37086,-0.04065,1.30434,0,0,0.186
1,15.0,0.3959,-0.09994,1.10705,0,0,0.2414
1,15.0,0.39416,0.06595,0.95315,0,0,0.2081
1,15.0,0.39322,0.03689,1.33227,1,1,0.2155
1,15.0,0.37194,-0.0473,0.81753,1,0,0.2546
1,15.0,0.39396,-0.07221,1.63638,1,1,0.1566
1,15.0,0.36126,0.0964,1.02372,1,0,0.2929
1,15.0,0.37123,-0.02117,1.21221,1,1,0.2362
1,15.0,0.38094,0.06217,0.79826,1,1,0.171
1,15.0,0.36212,0.02198,1.55947,1,1,0.1693
1,15.0,0.36827,-0.13415,1.83427,0,0,0.233
1,15.0,0.37598,-0.03513,1.90123,1,1,0.2078
1,15.0,0.36715,-0.02709,1.03414,0,0,0.1986
1,15.0,0.38361,0.20347,1.53461,1,1,0.2004
1,15.0,0.38535,0.10836,0.82585,0,0,0.1487
1,15.0,0.37088,0.0541,0.92987,0,0,0.4193
1,15.0,0.4024,0.06609,1.04191,0,1,0.2188
1,15.0,0.36911,-0.06174,1.11366,0,0,0.388
1,15.0,0.36182,0.10105,0.85715,0,0,0.4092
1,15.0,0.38763,0.08579,1.19512,1,1,0.3043
1,15.0,0.36193,-0.12293,1.00503,1,0,0.167
1,15.0,0.37503,-0.02414,2.41298,0,0,0.2959
1,15.0,0.37464,0.20667,1.17193,0,0,0.0853
1,15.0,0.36204,0.08085,1.15435,1,0,0.1722
1,15.0,0.37348,-0.07689,1.1001,1,0,0.3121
1,15.0,0.36892,-0.02097,1.24396,0,0,0.4356
1,15.0,0.39019,0.05884,0.75297,0,0,0.3856
1,15.0,0.39247,0.05703,0.83219,1,1,0.4997
1,15.0,0.37016,0.00626,1.12461,1,1,0.357
1,15.0,0.37121,0.11252,1.06092,1,1,0.2394
1,15.0,0.36856,0.02035,1.06297,0,0,0.2785
1,15.0,0.38852,0.15244,0.88615,1,0,0.2532
1,15.0,0.36683,0.06952,1.98833,1,1,0.2647
1,15.0,0.3673,-0.10238,1.39646,0,0,0.2599
1,15.0,0.38689,-0.1265,1.17816,1,1,0.3285
1,15.0,0.36254,-0.0106,1.10504,1,1,0.1858
1,15.0,0.37559,0.2673,1.0426,0,1,0.4805
1,15.0,0.38286,-0.15418,0.93615,0,0,0.3276
1,15.0,0.37183,0.14485,1.00891,1,1,0.2066
1,15.0,0.37557,-0.22444,1.14246,0,0,0.3414
1,15.0,0.39434,-0.12891,1.11241,0,0,0.317
1,15.0,0.38469,0.04392,1.26568,0,0,0.3313
1,15.0,0.39297,-0.09221,1.68968,0,0,0.3224
1,15.0,0.38172,0.10583,1.03307,0,0,0.2385
1,15.0,0.39222,0.06165,0.82094,1,1,0.2893
1,15.0,0.37448,0.1515,0.93287,1,1,0.2642
1,15.0,0.39014,-0.05634,0.88582,1,1,0.2159
1,15.0,0.38672,0.01753,0.89616,0,0,0.4997
1,15.0,0.3979,-0.02325,0.78635,1,1,0.3372
1,15.0,0.38674,-0.00439,0.91957,0,0,0.3963
1,15.0,0.39602,-0.09346,1.02682,0,0,0.2757
1,15.0,0.39922,-0.11429,0.81471,1,1,0.2692
1,15.0,0.39332,0.0642,1.16505,0,0,0.3142
1,15.0,0.39919,0.0177,1.84663,1,1,0.3369
1,15.0,0.37552,0.09474,0.97544,1,1,0.2629
1,15.0,0.38952,-0.09513,1.38369,0,0,0.2638
1,15.0,0.37262,0.0424,1.35798,0,1,0.2789
1,15.0,0.38575,-0.08212,4.63619,0,0,0.2938
1,15.0,0.3964,-0.08516,1.42823,0,0,0.2925
1,15.0,0.37658,-0.03956,0.77441,0,0,0.2123
1,15.0,0.37692,0.17998,1.10082,0,0,0.2589
1,15.0,0.37231,-0.11986,0.77135,1,1,0.1869
1,15.0,0.3854,-0.02047,0.96144,0,0,0.2507
1,15.0,0.38919,-0.05985,1.07375,1,1,0.1953
1,15.0,0.38357,0.00527,1.00504,1,1,0.2327
1,15.0,0.37895,-0.09916,0.88279,1,0,0.1998
1,15.0,0.36352,0.0196,1.1061,1,1,0.197
1,15.0,0.3703,-0.18393,1.27215,0,1,0.2627
1,15.0,0.37818,0.07779,0.95069,0,0,0.3111
1,15.0,0.38268,-0.00229,0.8041,0,1,0.3107
1,15.0,0.3738,0.03174,1.01287,1,1,0.2877
1,15.0,0.38526,0.13021,0.92397,1,1,0.2213
1,15.0,0.38461,0.02182,2.16862,0,0,0.1808
1,15.0,0.3646,-0.01122,0.85694,1,1,0.2051
1,15.0,0.36813,0.00756,0.97319,1,1,0.3876
1,15.0,0.39018,0.0281,1.03527,0,0,0.227
1,15.0,0.39253,-0.1656,0.93707,0,1,0.3304
1,15.0,0.39569,-0.24789,1.10438,1,1,0.1937
1,15.0,0.38019,0.02103,1.48454,0,1,0.3052
1,15.0,0.39595,0.00951,1.0152,1,0,0.369
1,15.0,0.36775,-0.02813,1.19301,0,1,0.2975
1,15.0,0.36937,0.08522,0.92417,0,1,0.3274
1,15.0,0.36516,0.11918,1.26471,1,1,0.2546
1,15.0,0.39138,0.11823,1.11497,1,1,0.3988
1,15.0,0.40121,0.14098,1.20448,0,1,0.2294
1,15.0,0.37893,-0.01485,0.84657,0,0,0.2762
1,15.0,0.36918,0.00164,0.86487,0,1,0.2242
1,15.0,0.39203,-0.1169,1.22131,1,1,0.4027
1,15.0,0.39953,-0.10481,0.97411,1,1,0.2802
1,15.0,0.38864,0.07957,1.30203,0,0,0.4168
1,15.0,0.36574,-0.04274,1.14485,0,1,0.3275
1,15.0,0.37795,-0.0344,1.61885,1,1,0.2462
1,15.0,0.37382,0.0005,0.97126,1,1,0.2199
1,15.0,0.37264,-0.06377,1.85679,0,0,0.413
1,15.0,0.38045,-0.09996,0.9212,1,1,0.348
1,15.0,0.38008,0.0158,1.06119,1,1,0.3058
1,15.0,0.38288,0.10729,1.19591,1,1,0.3059
1,15.0,0.36493,0.03049,0.84177,1,1,0.2294
1,15.0,0.37431,-0.16691,0.95994,0,0,0.349
1,15.0,0.38971,0.05059,0.85686,0,1,0.3937
1,15.0,0.37915,-0.08574,0.85767,1,1,0.3068
1,15.0,0.38243,0.12933,0.87642,1,1,0.2674
1,15.0,0.37113,-0.14758,0.81734,1,0,0.2671
1,15.0,0.37223,0.03783,2.14839,0,0,0.3146
1,15.0,0.39296,0.19148,0.79488,1,1,0.278
1,15.0,0.36133,-0.11428,1.11157,1,1,0.0
1,15.0,0.40288,-0.0587,1.27192,1,1,0.3336
1,15.0,0.37425,0.07852,0.91735,1,1,0.3842
1,15.0,0.37742,0.031,0.84967,1,1,0.317
1,15.0,0.37021,0.24966,0.87801,0,0,0.2866
1,15.0,0.39477,0.01417,0.87792,1,0,0.4392
1,15.0,0.39482,-0.04232,1.18441,1,1,0.2467
1,15.0,0.37798,-0.0101,0.945,1,1,0.3816
1,15.0,0.36681,0.09077,1.43716,0,0,0.3414
1,15.0,0.40129,0.13983,0.89752,0,0,0.348
1,15.0,0.38757,-0.16273,0.92999,1,1,0.3373
1,15.0,0.37506,-0.10746,1.12492,1,1,0.2114
1,15.0,0.36408,-0.03352,1.06071,0,0,0.2734
1,15.0,0.39198,-0.15382,0.83715,1,0,0.2964
1,15.0,0.381,-0.06493,1.27578,1,1,0.4155
1,15.0,0.40155,0.02244,0.98248,0,0,0.2991
1,15.0,0.37742,0.02753,0.96626,0,0,0.285
1,15.0,0.40286,-0.0969,0.93674,1,1,0.3084
1,15.0,0.39515,0.08941,1.03263,0,0,0.2681
1,15.0,0.3799,-0.07424,1.01055,0,1,0.3226
1,15.0,0.37132,0.09887,1.04882,0,0,0.3204
1,15.0,0.37959,-0.22498,1.10429,0,0,0.3382
1,15.0,0.37186,-0.02818,0.99847,0,0,0.2479
1,15.0,0.4023,-0.04201,1.03718,1,0,0.3927
1,15.0,0.40123,-0.16748,1.57082,1,0,0.2076
1,15.0,0.40061,-0.08336,1.11875,0,0,0.3498
1,15.0,0.38098,-0.03997,1.74524,1,1,0.2855
1,15.0,0.3653,-0.09043,0.78741,0,0,0.2923
1,15.0,0.376,0.15944,0.77668,1,1,0.2637
1,15.0,0.37597,-0.06615,0.94307,0,0,0.1615
1,15.0,0.3726,0.06234,1.09072,1,1,0.2645
1,15.0,0.37736,-0.0582,0.8989,1,1,0.2299
1,15.0,0.39299,0.07776,0.78341,0,0,0.3501
1,15.0,0.39261,-0.08552,1.0082,0,0,0.2737
1,15.0,0.36191,0.13252,0.75881,0,0,0.2692
1,15.0,0.36504,-0.01928,0.98065,1,1,0.2935
1,15.0,0.38406,0.06372,1.48857,0,0,0.1953
1,15.0,0.39563,0.09379,1.22307,0,0,0.2582
1,15.0,0.37234,-0.0067,1.31414,0,0,0.3692
1,15.0,0.38167,-0.08381,0.91701,1,1,0.3123
1,15.0,0.38277,0.01684,1.75642,1,0,0.2633
1,15.0,0.36138,-0.03412,2.00923,0,0,0.1824
1,15.0,0.3968,-0.1546,0.89534,0,0,0.1731
1,15.0,0.36311,0.02884,1.26483,1,1,0.3004
1,15.0,0.38347,-0.20539,0.84855,0,0,0.3293
1,15.0,0.36324,-0.00435,1.25105,0,0,0.3785
1,15.0,0.40225,-0.3016,2.37755,0,0,0.2643
1,15.0,0.395,0.10617,0.92074,1,1,0.255
1,15.0,0.36704,-0.24563,0.84816,0,0,0.4355
1,15.0,0.36755,-0.06125,1.02062,1,1,0.2778
1,15.0,0.39917,-0.02706,0.75455,0,0,0.2221
1,15.0,0.37662,-0.02356,0.85379,1,1,0.253
1,15.0,0.37588,0.09915,0.90689,1,1,0.2509
1,15.0,0.38064,0.04352,0.81469,1,1,0.2426
1,15.0,0.37371,-0.04634,1.13967,0,0,0.2426
1,15.0,0.3621,0.04349,1.23345,1,1,0.1489
1,15.0,0.38727,-0.09418,0.93361,1,1,0.3046
1,15.0,0.36202,-0.02492,0.83378,1,1,0.1808
1,15.0,0.36557,-0.10733,0.929,0,0,0.2621
1,15.0,0.37389,0.10317,0.92802,1,1,0.1809
1,15.0,0.36998,-0.12426,0.78939,1,0,0.2601
1,15.0,0.3677,0.03704,1.2112,1,1,0.3126
1,15.0,0.36554,0.17691,0.79045,0,0,0.3146
1,15.0,0.39217,-0.02231,1.26507,0,0,0.2606
1,15.0,0.36199,-0.05346,1.01538,1,0,0.2652
1,15.0,0.37158,-0.075,1.10289,1,1,0.304
1,15.0,0.38014,-0.00561,0.70275,1,1,0.2071
1,15.0,0.37297,0.03928,1.1335,0,0,0.2922
1,15.0,0.39029,-0.01101,1.09765,1,1,0.1663
1,15.0,0.397,0.13364,1.05874,0,0,0.3082
1,15.0,0.39558,0.08866,1.86478,0,1,0.2911
1,15.0,0.3878,0.19712,1.48859,0,0,0.2401
1,15.0,0.38751,-0.20414,0.79701,0,0,0.2975
1,15.0,0.36311,0.0332,3.87329,1,1,0.3237
1,15.0,0.3809,-0.08337,0.82193,0,0,0.2644
1,15.0,0.3971,-0.04651,0.82771,1,1,0.3666
1,15.0,0.36229,0.08501,1.02333,0,0,0.2614
1,15.0,0.38397,0.04733,1.00832,1,1,0.275
1,15.0,0.36647,0.17432,0.86936,1,1,0.2887
1,15.0,0.3667,0.12122,0.90359,0,0,0.2509
1,15.0,0.36176,-0.0352,0.91189,1,1,0.2727
1,15.0,0.40107,-0.14809,1.36342,1,1,0.2495
1,15.0,0.38548,0.01448,0.91451,1,1,0.241
1,15.0,0.38179,-0.11996,1.10538,1,1,0.4999
1,15.0,0.38653,0.07207,0.97614,0,0,0.3428
1,15.0,0.36962,0.14316,2.05003,0,0,0.3906
1,15.0,0.37734,0.16654,0.93871,0,0,0.2763
1,15.0,0.36359,-0.04846,1.01829,0,0,0.2681
1,15.0,0.38327,0.11174,1.46923,1,1,0.2911
1,15.0,0.37651,-0.13644,0.98447,0,0,0.2862
1,15.0,0.3775,0.02781,0.91457,0,0,0.2093
1,15.0,0.36257,0.05097,1.61745,0,0,0.3185
1,15.0,0.37727,0.0112,0.86726,0,0,0.2284
1,8.2222,0.17098,-0.07794,0.84919,0,0,0.3037
1,8.2222,0.18224,-0.06883,0.79979,1,1,0.2221
1,8.2222,0.18486,0.04545,5.17155,0,0,0.2016
1,8.2222,0.18052,0.06319,0.83247,0,1,0.1601
1,8.2222,0.18372,0.00238,0.79231,1,0,0.3139
1,8.2222,0.18256,-0.02034,0.93418,0,0,0.2747
1,8.2222,0.18645,-0.03972,0.93565,0,0,0.223
1,8.2222,0.17869,0.01995,0.96821,0,0,0.2107
1,8.2222,0.17786,0.00642,0.76738,1,0,0.1637
1,8.2222,0.17342,0.03896,4.73415,1,0,0.3001
1,8.2222,0.17995,0.00375,0.77886,1,1,0.3905
1,8.2222,0.18009,-0.02056,0.83544,1,1,0.2514
1,8.2222,0.17634,-0.01521,1.78568,0,0,0.2411
1,8.2222,0.18251,-0.07297,0.8208,1,0,0.1701
1,8.2222,0.17883,0.02969,0.97042,1,1,0.2856
1,8.2222,0.18481,-0.03423,1.07358,0,0,0.238
1,8.2222,0.18383,-0.01519,3.15701,0,0,0.2862
1,8.2222,0.17148,0.01769,0.94512,0,0,0.1988
1,8.2222,0.18235,0.11647,0.83733,1,0,0.086
1,8.2222,0.18591,0.00911,1.5254,0,0,0.2505
1,8.2222,0.17262,0.00953,0.84591,1,1,0.2472
1,8.2222,0.18512,0.02053,1.48184,1,1,0.2202
1,8.2222,0.17566,0.05743,0.83036,1,0,0.2721
1,8.2222,0.17171,-0.01139,0.961,1,1,0.4411
1,8.2222,0.17937,-0.04167,4.94629,0,0,0.2741
1,8.2222,0.16796,-0.03204,1.26681,1,1,0.2144
1,8.2222,0.17403,-0.0614,0.93096,0,0,0.1646
1,8.2222,0.17276,0.02524,0.91524,0,0,0.358
1,8.2222,0.17539,-0.03305,1.49586,0,0,0.2857
1,8.2222,0.17129,-0.04426,1.91428,0,1,0.2873
1,8.2222,0.18259,0.03093,0.91276,1,1,0.2477
1,8.2222,0.17571,-0.05382,0.81628,1,1,0.2651
1,8.2222,0.18505,-0.04221,1.08642,1,0,0.2706
1,8.2222,0.17511,0.06116,0.884,1,1,0.1954
1,8.2222,0.16997,-0.00736,0.86864,0,0,0.298
1,8.2222,0.18047,-0.02314,0.8116,0,1,0.2545
1,8.2222,0.18168,-0.02603,5.25502,0,0,0.3358
1,8.2222,0.18016,0.04507,2.08664,1,1,0.3444
1,8.2222,0.17073,0.01241,0.9307,1,1,0.3251
1,8.2222,0.18393,0.03361,0.81863,1,1,0.2102
1,8.2222,0.18659,0.01558,1.27368,1,1,0.2379
1,8.2222,0.17542,-0.06582,0.85383,0,0,0.2425
1,8.2222,0.17571,0.02721,0.83222,1,0,0.2957
1,8.2222,0.18192,-0.02197,0.92893,0,0,0.2674
1,8.2222,0.16928,0.03425,0.83805,1,1,0.2564
1,8.2222,0.16905,-0.00938,0.82159,0,0,0.2965
1,8.2222,0.17043,0.0547,1.47002,0,1,0.2816
1,8.2222,0.168,-0.01556,0.79312,1,1,0.2347
1,8.2222,0.17755,-0.0396,1.21476,0,0,0.2282
1,8.2222,0.18444,0.02014,1.06792,0,1,0.2455
1,8.2222,0.18084,0.03952,0.93421,0,0,0.3089
1,8.2222,0.18175,0.04863,1.63376,0,0,0.2764
1,8.2222,0.18442,0.02559,0.89795,1,1,0.3149
1,8.2222,0.18491,0.07443,0.78438,0,0,0.3059
1,8.2222,0.18242,-0.00527,0.74036,0,0,0.2918
